,date,dji
0,2022-01-04,1000000.0
1,2022-01-05,989333.0757448218
2,2022-01-06,984696.0579404313
3,2022-01-07,984565.3883836782
4,2022-01-10,980141.7302942135
5,2022-01-11,985118.6375549189
6,2022-01-12,986159.4295971324
7,2022-01-13,981357.7745201795
8,2022-01-14,975873.6868027993
9,2022-01-17,961108.8760825882
10,2022-01-18,951874.540241659
11,2022-01-19,943362.0183616733
12,2022-01-20,931133.1099248357
13,2022-01-21,933826.8559376098
14,2022-01-24,932012.4491678441
15,2022-01-25,928489.5724419921
16,2022-01-27,928290.9674536209
17,2022-01-28,943635.8830703843
18,2022-01-31,954679.2120763722
19,2022-02-01,962108.0576729355
20,2022-02-02,968197.513775501
21,2022-02-03,954116.7279323958
22,2022-02-04,953534.6062027173
23,2022-02-07,953572.3952865548
24,2022-02-08,963671.7402403853
25,2022-02-09,971967.3994847522
26,2022-02-10,957661.0467788521
27,2022-02-11,943978.0016580492
28,2022-02-14,939307.1222869613
29,2022-02-15,950792.774642251
30,2022-02-16,949309.8715489598
31,2022-02-17,932401.0610665225
32,2022-02-18,926073.5125059576
33,2022-02-21,912960.0635196286
34,2022-02-22,900328.2130540054
35,2022-02-23,902830.041472458
36,2022-02-24,925518.3526507026
37,2022-02-25,921003.406325001
38,2022-02-28,904762.6983528843
39,2022-03-02,920969.4386091919
40,2022-03-03,918341.9296422458
41,2022-03-04,913454.399933763
42,2022-03-07,891785.1202297916
43,2022-03-08,886765.0102805415
44,2022-03-09,904526.3042806752
45,2022-03-10,901477.9140850318
46,2022-03-11,895231.1449986253
47,2022-03-14,895259.5929606155
48,2022-03-15,911539.6822532484
49,2022-03-16,925636.6027613629
50,2022-03-17,936986.1719551923
51,2022-03-21,944436.4596723601
52,2022-03-22,938948.8690342872
53,2022-03-23,945863.9529292379
54,2022-03-24,933663.8109017261
55,2022-03-25,943159.5920052734
56,2022-03-28,947325.3077528126
57,2022-03-29,949897.4068833453
58,2022-03-30,959090.4507197441
59,2022-03-31,957313.7268847041
60,2022-04-01,942355.5124826048
61,2022-04-04,946157.6675218747
62,2022-04-05,948973.166566002
63,2022-04-06,941345.3975337315
64,2022-04-07,937414.165174387
65,2022-04-08,939779.9104313795
66,2022-04-11,943517.7391088357
67,2022-04-12,932293.6381652764
68,2022-04-13,929909.9537083723
69,2022-04-18,939264.1318966405
70,2022-04-19,936183.6846692022
71,2022-04-20,935109.2433585154
72,2022-04-21,948682.9548940578
73,2022-04-22,955465.3523991291
74,2022-04-25,945464.5138211452
75,2022-04-26,918796.7785867519
76,2022-04-27,925265.9300625962
77,2022-04-28,903274.381654886
78,2022-04-29,904952.3868158556
79,2022-05-02,921649.8544164931
80,2022-05-04,896128.4234415453
81,2022-05-05,898418.908978198
82,2022-05-06,900247.433579847
83,2022-05-09,925581.0867758375
84,2022-05-10,896692.4998222003
85,2022-05-11,894013.1900886451
86,2022-05-12,876250.197702721
87,2022-05-13,873941.5075933768
88,2022-05-16,865065.5842287896
89,2022-05-17,862244.6715799553
90,2022-05-18,874917.6017518849
91,2022-05-19,875644.7762429796
92,2022-05-20,887361.462140327
93,2022-05-23,855716.6073470046
94,2022-05-24,849277.9737408326
