,account_value,date,daily_return,datadate
0,1000000.0,2022-01-04,,2022-01-04
1,1008050.2772775268,2022-01-05,0.0080502772775268,2022-01-05
2,1016502.8888074494,2022-01-06,0.0083851090768514,2022-01-06
3,1017694.5456372834,2022-01-07,0.0011723103229268,2022-01-07
4,1040813.522443924,2022-01-10,0.022717009642774,2022-01-10
5,1042572.4279920196,2022-01-11,0.0016899334128226,2022-01-11
6,1040234.7813703156,2022-01-12,-0.0022421911024507,2022-01-12
7,1029105.9123670196,2022-01-13,-0.010698420397591,2022-01-13
8,1029266.9056378936,2022-01-14,0.0001564399435853,2022-01-14
9,1044666.2846814728,2022-01-17,0.0149615021713296,2022-01-17
10,1013365.1565991974,2022-01-18,-0.0299628010794081,2022-01-18
11,1017288.6049176787,2022-01-19,0.0038717024094734,2022-01-19
12,1016415.7146894074,2022-01-20,-0.0008580556432578,2022-01-20
13,1023857.2778302764,2022-01-21,0.0073213774967491,2022-01-21
14,994062.8210431671,2022-01-24,-0.029100205108908,2022-01-24
15,1034394.921232376,2022-01-25,0.040572989287422,2022-01-25
16,1042429.1973706818,2022-01-27,0.0077671264363263,2022-01-27
17,1024777.8260175324,2022-01-28,-0.0169329211016646,2022-01-28
18,1035920.8811933136,2022-01-31,0.0108736302570919,2022-01-31
19,1041356.2308942414,2022-02-01,0.0052468772467126,2022-02-01
20,1042943.7698957062,2022-02-02,0.0015244917679146,2022-02-02
21,1048582.6239606475,2022-02-03,0.005406671220161,2022-02-03
22,1043594.4336225128,2022-02-04,-0.0047570789598758,2022-02-04
23,1030183.6851789092,2022-02-07,-0.0128505365796675,2022-02-07
24,1039882.0375348664,2022-02-08,0.0094141971917103,2022-02-08
25,1071939.6322919463,2022-02-09,0.0308281070351743,2022-02-09
26,1062875.6472760772,2022-02-10,-0.0084556860692697,2022-02-10
27,1050989.7254315948,2022-02-11,-0.011182796289428,2022-02-11
28,1015110.3547803498,2022-02-14,-0.0341386502484702,2022-02-14
29,1047677.7068769074,2022-02-15,0.0320825730357214,2022-02-15
30,1043588.3221875764,2022-02-16,-0.0039032850107323,2022-02-16
31,1043729.3760663604,2022-02-17,0.0001351623775249,2022-02-17
32,1044013.8966962432,2022-02-18,0.0002726000018846,2022-02-18
33,1044267.4163495636,2022-02-21,0.0002428316846381,2022-02-21
34,1044168.556806717,2022-02-22,-9.466879967612309e-05,2022-02-22
35,1055428.3730908963,2022-02-23,0.0107835236090756,2022-02-23
36,1001081.8850995636,2022-02-24,-0.051492350761971,2022-02-24
