account_value,date,daily_return
992551.7216587373,2022-04-06,
972420.9974388505,2022-04-07,-0.02028178862683816
975811.0165199662,2022-04-08,0.003486164007198811
975057.8514656449,2022-04-11,-0.0007718349573540007
979865.4832710648,2022-04-12,0.0049306118587664205
966273.7381691361,2022-04-13,-0.013871031620131813
980418.6625542069,2022-04-18,0.014638630676098163
961462.9568428422,2022-04-19,-0.019334297107300058
982929.7377952958,2022-04-20,0.022327205431755814
1009538.6607231522,2022-04-21,0.02707103255166543
1009542.9216484452,2022-04-22,4.220665793974732e-06
1004510.4917930985,2022-04-25,-0.004984859729519342
1020662.3345207596,2022-04-26,0.01607931709984367
1002105.6955589677,2022-04-27,-0.018180977522311625
1014942.8753227616,2022-04-28,0.012810205371234229
993259.0895103837,2022-04-29,-0.021364538181996018
980434.5776771927,2022-05-02,-0.012911547418622327
947559.7608131791,2022-05-04,-0.03353086234667424
945605.3434395219,2022-05-05,-0.0020625795379701772
930163.0135597611,2022-05-06,-0.016330628826177307
930520.2476601029,2022-05-09,0.00038405537000940626
931636.3681816483,2022-05-10,0.0011994586086139236
920732.3654198075,2022-05-11,-0.011704140300064836
898203.7642769242,2022-05-12,-0.02446813209679166
891166.0347313309,2022-05-13,-0.007835337398367281
907652.6067375565,2022-05-16,0.018500000408112394
941200.4040321732,2022-05-17,0.036961054312618646
942368.0100349808,2022-05-18,0.0012405498316889751
920341.96039814,2022-05-19,-0.023373087161589035
943472.436632576,2022-05-20,0.025132480349401742
965220.8967461014,2022-05-23,0.02305150555447022
955944.9190086747,2022-05-24,-0.009610212303419297
947157.6288017655,2022-05-25,-0.009192255779780334
949722.710977974,2022-05-26,0.0027081893216165387
962622.586771431,2022-05-27,0.013582781210079053
984133.8266167069,2022-05-30,0.02234649398516919
977222.5800575638,2022-05-31,-0.007022669450254315
972346.361406746,2022-06-01,-0.004989875132163424
977589.1601128007,2022-06-02,0.005391904483984078
957665.5830635453,2022-06-03,-0.020380317072006493
959775.3913902665,2022-06-06,0.0022030741879350835
957891.4901604081,2022-06-07,-0.0019628563586419068
963726.3648170853,2022-06-08,0.006091373309622172
970140.748667183,2022-06-09,0.00665581443474883
969750.1786369706,2022-06-10,-0.0004025910990225201
954701.947092476,2022-06-13,-0.015517637300820786
955548.0035271073,2022-06-14,0.0008861995486737495
957914.9675621415,2022-06-15,0.0024770749625318
945051.4559349442,2022-06-16,-0.013428657096709151
944106.4100020828,2022-06-17,-0.0009999941557959913
954669.1096555254,2022-06-20,0.011188039337026945
976213.9938413164,2022-06-21,0.022567907527211162
964418.3043576739,2022-06-22,-0.012083098130183045
974185.8790647051,2022-06-23,0.010127944132641398
988373.4304868242,2022-06-24,0.014563495249736436
1002229.4404660723,2022-06-27,0.014019002890863996
1007662.2076169512,2022-06-28,0.005420682062934112
1013852.8635007403,2022-06-29,0.006143582479320564
1009053.4125119707,2022-06-30,-0.004733873288277235
1018669.35657325,2022-07-01,0.009529668045362483
1025001.4369565508,2022-07-04,0.006216031082550311
1024829.7155515215,2022-07-05,-0.0001675328432115819
1040419.0720273516,2022-07-06,0.015211655399200108
