account_rewards,date
4333.952743530273,2022-10-10
-11352.073257446289,2022-10-11
-817.6777496337891,2022-10-12
-2871.7178344726562,2022-10-13
1173.3448638916016,2022-10-14
20353.255905151367,2022-10-17
-2766.9251556396484,2022-10-18
19375.16896057129,2022-10-19
-10283.983200073242,2022-10-20
2792.914093017578,2022-10-21
-905.4615173339844,2022-10-24
6593.170501708984,2022-10-25
-1670.7620697021484,2022-10-27
7994.121231079102,2022-10-28
56487.308410644415,2022-10-31
392.3582458496094,2022-11-01
2592.359344482422,2022-11-02
59937.65573120117,2022-11-03
32807.397369384766,2022-11-04
7733.13053894043,2022-11-07
-2322.2706146240234,2022-11-09
5145.274871826172,2022-11-10
1692.4437255859375,2022-11-11
10338.980926513672,2022-11-14
-24535.829650878906,2022-11-15
16767.503799438477,2022-11-16
209.42369079589844,2022-11-17
-4899.866790771484,2022-11-18
8934.073425292969,2022-11-21
-32087.438049316406,2022-11-22
6763.5528564453125,2022-11-23
-5360.792266845703,2022-11-24
-2869.087417602539,2022-11-25
-1471.0824584960938,2022-11-28
11408.898498535156,2022-11-29
-760.5740509033203,2022-11-30
77.5634765625,2022-12-01
2284.3814239501953,2022-12-02
24197.069625854492,2022-12-05
-6985.639068603516,2022-12-06
9013.269180297852,2022-12-07
-7805.326248168945,2022-12-08
5339.3450927734375,2022-12-09
11382.655700683594,2022-12-12
-1304.7985534667969,2022-12-13
-5152.204254150391,2022-12-14
-16458.41439819336,2022-12-15
24185.223266601562,2022-12-16
21735.393005371094,2022-12-19
-67526.53056335449,2022-12-20
-9859.053466796875,2022-12-21
-59135.81758117676,2022-12-22
21041.971588134766,2022-12-23
15261.034286499023,2022-12-26
6721.522323608398,2022-12-27
3747.681884765625,2022-12-28
9119.340591430664,2022-12-29
-2887.1959075927734,2022-12-30
-2569.6314392089844,2023-01-02
-2040.1869201660156,2023-01-03
-787.3539733886719,2023-01-04
-2427.1622161865234,2023-01-05
