account_rewards,date
-20130.72421988682,2022-04-06
3390.0190811157227,2022-04-07
-753.1650543212891,2022-04-08
4807.631805419922,2022-04-11
-13591.745101928711,2022-04-12
14144.9243850708,2022-04-13
-18955.705711364746,2022-04-18
21466.780952453613,2022-04-19
26608.922927856445,2022-04-20
4.26092529296875,2022-04-21
-5032.42985534668,2022-04-22
16151.842727661133,2022-04-25
-18556.638961791992,2022-04-26
12837.179763793945,2022-04-27
-21683.78581237793,2022-04-28
-12824.511833190918,2022-04-29
-32874.81686401367,2022-05-02
-1954.4173736572266,2022-05-04
-15442.329879760742,2022-05-05
357.2341003417969,2022-05-06
1116.1205215454102,2022-05-09
-10904.00276184082,2022-05-10
-22528.6011428833,2022-05-11
-7037.729545593262,2022-05-12
16486.572006225586,2022-05-13
33547.7972946167,2022-05-16
1167.6060028076172,2022-05-17
-22026.04963684082,2022-05-18
23130.476234436035,2022-05-19
21748.46011352539,2022-05-20
-9275.977737426758,2022-05-23
-8787.29020690918,2022-05-24
2565.082176208496,2022-05-25
12899.875793457031,2022-05-26
21511.23984527588,2022-05-27
-6911.246559143066,2022-05-30
-4876.218650817871,2022-05-31
5242.7987060546875,2022-06-01
-19923.57704925537,2022-06-02
2109.8083267211914,2022-06-03
-1883.9012298583984,2022-06-06
5834.874656677246,2022-06-07
6414.383850097656,2022-06-08
-390.57003021240234,2022-06-09
-15048.231544494629,2022-06-10
846.0564346313477,2022-06-13
2366.9640350341797,2022-06-14
-12863.511627197266,2022-06-15
-945.0459328613942,2022-06-16
10562.6996534426,2022-06-17
21544.884185791016,2022-06-20
-11795.689483642578,2022-06-21
9767.57470703125,2022-06-22
14187.55142211914,2022-06-23
13856.009979248047,2022-06-24
5432.767150878906,2022-06-27
6190.6558837890625,2022-06-28
-4799.450988769531,2022-06-29
9615.944061279297,2022-06-30
6332.080383300781,2022-07-01
-171.72140502929688,2022-07-04
15589.356475830078,2022-07-05
